"Name","Hometown","Year","Sport"
"Brett Bond","St. Louis, Mo.",2017,"baseball"
"Ian Nelson","Lake St. Louis, Mo.",2017,"baseball"
"Kirby McGuire","Round Rock, Texas",2017,"baseball"
"Connor Brumfield","Columbia, Mo.",2017,"baseball"
"Robbie Glendinning","Scarborough, Australia",2017,"baseball"
"Matt Berler","Hoover, Ala.",2017,"baseball"
"Tanner Houck","Collinsville, Ill.",2017,"baseball"
"Nelson Mompierre","Miami, Fla.",2017,"baseball"
"Alex Del Rio","Munster, Ind.",2017,"baseball"
"TJ Sikkema","DeWitt, Iowa",2017,"baseball"
"Armaan  Painter","Atlanta, Ga.",2017,"baseball"
"Trey Harris","Powder Springs, Ga.",2017,"baseball"
"Johnny Balsamo","Kansas City, Mo.",2017,"baseball"
"Chris Cornelius","St. Louis, Mo.",2017,"baseball"
"Blake  Charlton","O'Fallon, Mo.",2017,"baseball"
"Michael Plassmeyer","St. Louis, Mo.",2017,"baseball"
"Nolan Gromacki","Smithville, Mo.",2017,"baseball"
"Liam Carter","Highland Park, Ill.",2017,"baseball"
"Kameron Misner","Poplar Bluff, Mo.",2017,"baseball"
"Cameron Dulle","St. Louis, Mo.",2017,"baseball"
"Cole Bartlett","Williamsburg, Ind.",2017,"baseball"
"Evan Stoll","Chesterfield, Mo.",2017,"baseball"
"Aaron Armstrong","Bloomington, Ill.",2017,"baseball"
"Ty Shoaff","Akron, Ohio",2017,"baseball"
"Bryce Montes De Oca","Lawrence, Kan.",2017,"baseball"
"Luke Boyster","Imperial, Mo.",2017,"baseball"
"Josh Konecek","Chesterfield, Mo.",2017,"baseball"
"Lake Dabney","Driftwood, Texas",2017,"baseball"
"Ryan Lee","Grandview, Mo.",2017,"baseball"
"Graham Ruopp","Cape Girardeau, Mo.",2017,"baseball"
"Andy Toelken","Green Cove Springs, Fla.",2018,"baseball"
"Alex Samples","Bridgeport, Texas",2018,"baseball"
"Brian Sharp","Liberty, Mo.",2018,"baseball"
"Brett Bond","St. Louis, Mo.",2018,"baseball"
"Cade  Bormet","San Antonio, Texas",2018,"baseball"
"Chris Cornelius","St. Louis, Mo.",2018,"baseball"
"Connor Brumfield","Columbia, Mo.",2018,"baseball"
"Mark Vierling","St. Louis, Mo.",2018,"baseball"
"Matt Berler","Hoover, Ala.",2018,"baseball"
"Konnor Ash","Plainfield, Ill.",2018,"baseball"
"Tyler LaPlante","Blue Springs, Mo.",2018,"baseball"
"Michael Plassmeyer","St. Louis, Mo.",2018,"baseball"
"Ryan  Rickett","Richmond, Texas",2018,"baseball"
"TJ Sikkema","DeWitt, Iowa",2018,"baseball"
"Paul Gomez","Orange, Calif.",2018,"baseball"
"Luke Anderson","Prairie Village, Kan.",2018,"baseball"
"Chad McDaniel","Coral Springs, Fla.",2018,"baseball"
"Ian Bedell","Davenport, Iowa",2018,"baseball"
"Trey Harris","Powder Springs, Ga.",2018,"baseball"
"Zach Diewert","Chamainus, Britich Columbia",2018,"baseball"
"Nile Ball","Decatur, Ga.",2018,"baseball"
"Blake Charlton","O'Fallon, Mo.",2018,"baseball"
"Trevor Mallett","Torrance, Calif.",2018,"baseball"
"Nolan Gromacki","Smithville, Mo.",2018,"baseball"
"Tony Ortiz","Olympia, Wash.",2018,"baseball"
"Kameron Misner","Poplar Bluff, Mo.",2018,"baseball"
"Giovanni Lopez","Goodyear, Ariz.",2018,"baseball"
"Isaiah  Cullum","Bushnell, Fla",2018,"baseball"
"Cameron Dulle","St. Louis, Mo.",2018,"baseball"
"Drake Greenwood","Houston, Texas",2018,"baseball"
"Evan Stoll","Chesterfield, Mo.",2018,"baseball"
"Cody Siebenberger","Smithton, Ill.",2018,"baseball"
"Brad Jones","Osprey, Fla.",2018,"baseball"
"Cameron  Pferrer","Carmel, Ind.",2018,"baseball"
"Bryce Montes De Oca","Lawrence, Kan.",2018,"baseball"
"Zach Hanna","Shawnee, Kan.",2018,"baseball"
"Josh Konecek","Chesterfield, Mo.",2018,"baseball"
"Jordan Gubelman","Sarasota, Fla.",2018,"baseball"
"Graham Ruopp","Cape Girardeau, Mo.",2018,"baseball"
"Josh Holt Jr.","Hampton, Ga.",2019,"baseball"
"Thomas Broyles","Fayetteville, Ark.",2019,"baseball"
"Paul Gomez","Orange, Calif.",2019,"baseball"
"Tommy Springer","Apple Valley, Minn.",2019,"baseball"
"Tre Morris","Columbia, Mo.",2019,"baseball"
"Seth Halvorsen","Plymouth, Minn.",2019,"baseball"
"Chris Cornelius","St. Louis, Mo.",2019,"baseball"
"Connor Brumfield","Columbia, Mo.",2019,"baseball"
"Mark Vierling","St. Louis, Mo.",2019,"baseball"
"Clayton Peterson","Edmond, Okla.",2019,"baseball"
"Konnor Ash","Plainfield, Ill.",2019,"baseball"
"Tyler LaPlante","Blue Springs, Mo.",2019,"baseball"
"Cameron Swanger","Loveland, Ohio",2019,"baseball"
"Alex Peterson","Edmond, Okla.",2019,"baseball"
"Luke  Mann","St. Louis, Mo.",2019,"baseball"
"TJ Sikkema","DeWitt, Iowa",2019,"baseball"
"Art Joven","Bakersfield, Calif.",2019,"baseball"
"Luke Anderson","Prairie Village, Kan.",2019,"baseball"
"Chad McDaniel","Coral Springs, Fla.",2019,"baseball"
"Jacob Cantleberry","Greenwood, Ind.",2019,"baseball"
"Cade  Bormet","San Antonio, Texas",2019,"baseball"
"Austin  James","Valrico, Fla.",2019,"baseball"
"Nick Swanson","Kennesaw, Ga.",2019,"baseball"
"Ty Olejnik","Menomonee Falls, Wisc.",2019,"baseball"
"Trevor Mallett","Torrance, Calif.",2019,"baseball"
